Time,Frequency 09B35150 (Hgr Walikale - Lab),Frequency 64B734C2 (Hgr Walikale - Cabane),Voltage 09B35150 (Hgr Walikale - Lab),Voltage 64B734C2 (Hgr Walikale - Cabane),Generator_ON
1/22/23 14:46,50,,230,,FALSE
1/22/23 14:48,50,50,229,225,FALSE
1/22/23 14:50,50,,229,,FALSE
1/22/23 14:52,50,50,229,225,FALSE
1/22/23 14:54,50,50,230,225,FALSE
1/22/23 14:56,50,50.1,229,225,FALSE
1/22/23 14:58,50,50.1,229,225,FALSE
1/22/23 15:00,50,50,229,225,FALSE
1/22/23 15:02,50.1,50.1,229,225,FALSE
1/22/23 15:04,50,50,229,225,FALSE
1/22/23 15:06,50,49.9,229,225,FALSE
1/22/23 15:08,50,50,229,225,FALSE
1/22/23 15:10,50,50.1,229,225,FALSE
1/22/23 15:12,50,50,229,226,FALSE
1/22/23 15:14,50,50,229,226,FALSE
1/22/23 15:16,50,49.9,229,225,FALSE
1/22/23 15:18,50,50,229,226,FALSE
1/22/23 15:20,50,50,229,226,FALSE
1/22/23 15:22,50,50,229,224,FALSE
1/22/23 15:24,50,50,229,225,FALSE
1/22/23 15:26,50,50,230,225,FALSE
1/22/23 15:28,50,50,229,224,FALSE
1/22/23 15:30,50,50,230,225,FALSE
1/22/23 15:32,50,50,230,225,FALSE
1/22/23 15:34,50,50,229,224,FALSE
1/22/23 15:36,50,50.1,229,224,FALSE
1/22/23 15:38,50,50,230,224,FALSE
1/22/23 15:40,50,50,229,224,FALSE
1/22/23 15:42,50,50,229,224,FALSE
1/22/23 15:44,50,50,229,224,FALSE
1/22/23 15:46,50,50,229,225,FALSE
1/22/23 15:48,50,50,229,224,FALSE
1/22/23 15:50,50,50,229,224,FALSE
1/22/23 15:52,50,50,229,224,FALSE
1/22/23 15:54,50,50.1,229,224,FALSE
1/22/23 15:56,50,50,228,224,FALSE
1/22/23 15:58,50,50,229,224,FALSE
1/22/23 16:00,50,50,229,225,FALSE
1/22/23 16:02,49.9,50,228,225,FALSE
1/22/23 16:04,50,50,228,225,FALSE
1/22/23 16:06,50,50,229,225,FALSE
1/22/23 16:08,50,50,229,225,FALSE
1/22/23 16:10,50,50,229,225,FALSE
1/22/23 16:12,50,50,230,224,FALSE
1/22/23 16:14,50,50,229,225,FALSE
1/22/23 16:16,50,50,230,224,FALSE
