"Time","Frequency A27FD0AE (Ch Matanda - Control room)","Frequency E62B2EA3 (Ch Matanda - Radiologie)","Voltage A27FD0AE (Ch Matanda - Control room)","Voltage E62B2EA3 (Ch Matanda - Radiologie)"
2023-01-08 09:44:00,50.1,50.1,222,222
2023-01-08 09:46:00,50.3,50.3,221,222
2023-01-08 09:48:00,49.8,50.0,222,222
2023-01-08 09:50:00,50.1,50.2,224,224
2023-01-08 09:52:00,49.6,49.7,222,222
2023-01-08 09:54:00,50.1,50.1,223,223
2023-01-08 09:56:00,49.6,49.7,222,222
2023-01-08 09:58:00,50,50.0,219,220
2023-01-08 10:00:00,49.9,49.8,221,221
2023-01-08 10:02:00,49.7,49.8,221,221
2023-01-08 10:04:00,49.7,49.7,219,219
2023-01-08 10:06:00,49.9,49.9,220,221
2023-01-08 10:08:00,49.9,49.8,223,223
2023-01-08 10:10:00,50.1,50.0,221,221
2023-01-08 10:12:00,50.2,49.9,221,221
2023-01-08 10:14:00,49.9,50.0,223,223
2023-01-08 10:16:00,50.0,50.0,221,221
2023-01-08 10:18:00,49.8,49.8,223,223
2023-01-08 10:20:00,50.1,50.0,221,221
2023-01-08 10:22:00,50.2,50.3,222,223
2023-01-08 10:24:00,49.9,49.9,221,221
2023-01-08 10:26:00,50.1,50.2,220,220
2023-01-08 10:28:00,49.9,50.0,220,221
2023-01-08 10:30:00,49.6,49.7,217,218
2023-01-08 10:32:00,49.8,49.9,218,218
2023-01-08 10:34:00,50.5,50.4,217,218
2023-01-08 10:36:00,50.1,50.1,219,219
2023-01-08 10:38:00,50.2,50.1,219,219
2023-01-08 10:40:00,49.9,49.8,219,219
2023-01-08 10:42:00,50.2,50.3,218,219
2023-01-08 10:44:00,49.9,49.9,221,221
2023-01-08 10:46:00,50.8,50.8,221,221
2023-01-08 10:48:00,50.1,50.1,221,221
2023-01-08 10:50:00,50.2,50.2,224,224
2023-01-08 10:52:00,49.8,50.0,223,223
2023-01-08 10:54:00,50.2,50.2,223,224
2023-01-08 10:56:00,50.1,50.0,223,223
2023-01-08 10:58:00,49.9,50.0,223,223
2023-01-08 11:00:00,49.8,49.8,222,223
2023-01-08 11:02:00,49.8,49.8,223,223
2023-01-08 11:04:00,50.0,50.0,223,223
2023-01-08 11:06:00,50.0,50.0,223,223
2023-01-08 11:08:00,50.2,50.2,221,222
2023-01-08 11:10:00,50.2,50.2,217,217
2023-01-08 11:12:00,50.0,50.0,216,216
2023-01-08 11:14:00,50.1,50.1,216,216
2023-01-08 11:16:00,49.9,50.0,214,214
2023-01-08 11:18:00,49.9,49.9,215,215
2023-01-08 11:20:00,50.0,49.9,221,220
2023-01-08 11:22:00,49.9,49.9,221,220
2023-01-08 11:24:00,49.9,49.8,219,219
2023-01-08 11:26:00,50.0,50,219,219
2023-01-08 11:28:00,50.0,50.1,221,220
2023-01-08 11:30:00,50.1,50.0,220,219
2023-01-08 11:32:00,50,50.0,221,220
2023-01-08 11:34:00,50.0,50.0,220,220
2023-01-08 11:36:00,49.9,49.9,220,219
2023-01-08 11:38:00,50.0,50.0,221,220
2023-01-08 11:40:00,49.9,50.0,216,216
2023-01-08 11:42:00,49.8,50.0,220,219
2023-01-08 11:44:00,49.9,49.8,216,215
2023-01-08 11:46:00,50.1,50.1,220,220
2023-01-08 11:48:00,49.9,50.0,221,220
2023-01-08 11:50:00,50.3,50.3,220,220
2023-01-08 11:52:00,50.1,50.0,216,216
2023-01-08 11:54:00,49.7,49.7,221,221
2023-01-08 11:56:00,50.0,50.0,222,222
2023-01-08 11:58:00,49.7,49.7,223,222
2023-01-08 12:00:00,49.8,49.9,223,222
2023-01-08 12:02:00,50.1,50.0,221,221
2023-01-08 12:04:00,50.1,50.2,221,221
2023-01-08 12:06:00,49.9,49.8,221,220
2023-01-08 12:08:00,50.0,50,221,221
2023-01-08 12:10:00,50.0,50.0,220,220
