Time,Frequency A27FD0AE (Ch Matanda - Control room),Frequency E62B2EA3 (Ch Matanda - Radiologie),Voltage A27FD0AE (Ch Matanda - Control room),Voltage E62B2EA3 (Ch Matanda - Radiologie),Generator_ON
1/1/23 13:26,49.7,49.7,223,223,FALSE
1/1/23 13:28,49.6,49.7,223,223,FALSE
1/1/23 13:30,49.6,49.6,219,219,FALSE
1/1/23 13:32,49.8,49.8,220,220,FALSE
1/1/23 13:34,50,49.9,221,221,FALSE
1/1/23 13:36,49.6,49.6,220,220,FALSE
1/1/23 13:38,49.7,49.6,220,220,FALSE
1/1/23 13:40,49.7,49.7,223,222,FALSE
1/1/23 13:42,49.9,50,222,222,FALSE
1/1/23 13:44,50.2,50.2,222,222,FALSE
1/1/23 13:46,50,50.1,221,221,FALSE
1/1/23 13:48,50,50,221,221,FALSE
1/1/23 13:50,49.8,49.8,221,221,FALSE
1/1/23 13:52,50,49.9,222,222,FALSE
1/1/23 13:54,50,50,223,222,FALSE
1/1/23 13:56,50,50,223,223,FALSE
1/1/23 13:58,50.3,50.3,222,221,FALSE
1/1/23 14:00,50,50,223,222,FALSE
1/1/23 14:02,50.1,50.2,223,222,FALSE
1/1/23 14:04,50.1,50,221,221,FALSE
1/1/23 14:06,50,50,221,221,FALSE
1/1/23 14:08,50.1,50,221,221,FALSE
1/1/23 14:10,49.8,49.9,220,219,FALSE
1/1/23 14:12,49.9,49.8,219,219,FALSE
1/1/23 14:14,50,49.9,219,219,FALSE
1/1/23 14:16,49.9,49.9,222,223,FALSE
1/1/23 14:18,50,50,221,221,FALSE
1/1/23 14:20,49.8,49.9,221,221,FALSE
1/1/23 14:22,49.8,49.8,216,216,FALSE
1/1/23 14:24,50,50,221,221,FALSE
1/1/23 14:26,49.9,49.8,221,221,FALSE
1/1/23 14:28,50,50,220,221,FALSE
1/1/23 14:30,50.1,50.1,221,221,FALSE
1/1/23 14:32,50.2,50.1,221,222,FALSE
1/1/23 14:34,49.9,49.9,217,217,FALSE
1/1/23 14:36,50,50,223,224,FALSE
1/1/23 14:38,49.8,49.8,223,223,FALSE
1/1/23 14:40,49.9,49.9,223,223,FALSE
1/1/23 14:42,49.7,49.7,223,223,FALSE
1/1/23 14:44,50.1,50.4,223,220,FALSE
1/1/23 14:46,50.1,50.2,223,223,FALSE
1/1/23 14:48,50.1,49.8,219,219,FALSE
1/1/23 14:50,50,49.9,226,219,FALSE
1/1/23 14:52,50,50,221,221,FALSE
1/1/23 14:54,50,49.9,226,222,FALSE
1/1/23 14:56,49.9,49.6,222,221,FALSE
1/1/23 14:58,50.1,49.9,221,221,FALSE
1/1/23 15:00,49.9,49.9,224,225,FALSE
1/1/23 15:02,49.8,50,224,225,FALSE
1/1/23 15:04,49.8,49.9,224,224,FALSE
1/1/23 15:06,50.1,49.6,224,224,FALSE
1/1/23 15:08,49.8,49.9,221,222,FALSE
1/1/23 15:10,49.4,50,220,221,FALSE
1/1/23 15:12,50.2,49.6,221,220,FALSE
1/1/23 15:14,50.2,49.9,221,221,FALSE
1/1/23 15:16,50,50.1,221,221,FALSE
1/1/23 15:18,50.6,50,221,221,FALSE
1/1/23 15:20,49.9,50.2,221,221,FALSE
1/1/23 15:22,50,50.2,221,221,FALSE
1/1/23 15:24,50,50,214,215,FALSE
1/1/23 15:26,49.9,49.8,213,212,FALSE
1/1/23 15:28,50.1,50,221,214,FALSE
1/1/23 15:30,49.9,49.8,222,222,FALSE
1/1/23 15:32,49.9,50,222,225,FALSE
1/1/23 15:34,49.7,50,222,223,FALSE
1/1/23 15:36,49.7,49.9,222,223,FALSE
1/1/23 15:38,50.1,50.1,223,223,FALSE
1/1/23 15:40,50,49.7,223,223,FALSE
1/1/23 15:42,50.1,50.3,223,223,FALSE
1/1/23 15:44,50,50.1,223,223,FALSE
1/1/23 15:46,49.8,50,222,223,FALSE
1/1/23 15:48,49.6,49.8,222,222,FALSE
1/1/23 15:50,49.7,49.9,223,223,FALSE
1/1/23 15:52,49.9,50.1,223,223,FALSE
1/1/23 15:54,49.8,50,223,223,FALSE
1/1/23 15:56,50,50.1,222,223,FALSE
1/1/23 15:58,49.8,50.2,222,222,FALSE
1/1/23 16:00,49.9,50.1,223,223,FALSE
1/1/23 16:02,50,50.1,223,223,FALSE
1/1/23 16:04,49.8,50.5,223,224,FALSE
1/1/23 16:06,49.9,49.9,223,224,FALSE
1/1/23 16:08,49.9,50.1,226,223,FALSE
1/1/23 16:10,50,49.8,223,223,FALSE
1/1/23 16:12,50.1,50,224,224,FALSE
1/1/23 16:14,49.8,50,223,224,FALSE
1/1/23 16:16,49.9,49.9,223,223,FALSE
1/1/23 16:18,49.9,50,223,224,FALSE
1/1/23 16:20,49.9,50.1,224,224,FALSE
1/1/23 16:22,50.1,49.8,226,225,FALSE
1/1/23 16:24,49.6,50,223,224,FALSE
1/1/23 16:26,50.1,49.5,223,225,FALSE
1/1/23 16:28,50.3,49.8,225,225,FALSE
1/1/23 16:30,50.1,49.9,224,224,FALSE
1/1/23 16:32,50.2,49.7,224,225,FALSE
1/1/23 16:34,50.1,49.6,225,224,FALSE
1/1/23 16:36,49.9,49.7,225,225,FALSE
1/1/23 16:38,49.9,49.9,225,226,FALSE
1/1/23 16:40,50,50,226,223,FALSE
1/1/23 16:42,50.1,50,225,225,FALSE
1/1/23 16:44,50.1,49.9,226,225,FALSE
1/1/23 16:46,49.8,50.2,225,226,FALSE
1/1/23 16:48,50,50,225,226,FALSE
1/1/23 16:50,49.9,49.9,223,224,FALSE
1/1/23 16:52,49.9,49.8,223,223,FALSE
1/1/23 16:54,50,49.8,222,221,FALSE
1/1/23 16:56,49.8,50,223,223,FALSE
1/1/23 16:58,50,50,223,223,FALSE
1/1/23 17:00,50,50,223,223,FALSE
1/1/23 17:02,49.9,50,221,223,FALSE
1/1/23 17:04,49.7,49.9,223,223,FALSE
1/1/23 17:06,49.9,50,223,223,FALSE
1/1/23 17:08,50.1,50.1,223,223,FALSE
1/1/23 17:10,50.3,49.8,223,223,FALSE
1/1/23 17:12,50,49.7,224,224,FALSE
1/1/23 17:14,49.8,50,224,225,FALSE
1/1/23 17:16,50,49.7,224,223,FALSE
1/1/23 17:18,50,50,224,225,FALSE
1/1/23 17:20,49.9,49.9,224,224,FALSE
